class,date_idx,mean,std
1,1,0.06317461,0.043664888
1,2,0.06302973,0.040171113
1,3,0.056550197,0.045209788
1,4,0.05568918,0.043052536
1,5,0.05754721,0.042910796
1,6,0.07516694,0.03760512
1,7,0.056045335,0.042299412
1,8,-0.040351383,0.11851722
1,9,0.064505026,0.1445103
1,10,-0.008848144,0.05022379
1,11,0.04175824,0.10639773
1,12,0.06639566,0.09478002
1,13,0.060194764,0.03516475
1,14,0.0688842,0.029715711
1,15,0.07126016,0.03672065
2,1,0.15238579,0.029912187
2,2,0.15449584,0.03153376
2,3,0.15724777,0.030647323
2,4,0.151641,0.033895195
2,5,0.15373191,0.036055066
2,6,0.15544212,0.03243836
2,7,0.15041667,0.053264607
2,8,,
2,9,0.061261903,0.14064886
2,10,0.0007561348,0.031795062
2,11,0.09365925,0.11311118
2,12,0.14541313,0.075913444
2,13,0.1325405,0.018725045
2,14,0.15746495,0.021258244
2,15,0.16800651,0.02695905
3,1,0.18050042,0.038656298
3,2,0.17980275,0.03843217
3,3,0.18171343,0.03804079
3,4,0.18125562,0.044299036
3,5,0.17985252,0.04349719
3,6,0.16855076,0.040274788
3,7,0.15560961,0.05894114
3,8,-0.034554213,0.101039834
3,9,0.08132739,0.13752404
3,10,0.008265091,0.041007858
3,11,0.124594726,0.105480954
3,12,0.19008677,0.08981436
3,13,0.1476308,0.020649657
3,14,0.16410643,0.025022753
3,15,0.18910876,0.032875575
4,1,0.12730485,0.05258818
4,2,0.12183742,0.0505005
4,3,0.12537935,0.04657888
4,4,0.10872761,0.057072423
4,5,0.11978666,0.04581566
4,6,0.109957494,0.059637878
4,7,0.09965328,0.05768657
4,8,-0.04676084,0.08802013
4,9,0.017511182,0.10360913
4,10,0.10870489,0.11962407
4,11,0.19637062,0.11746514
4,12,0.16636682,0.043873727
4,13,0.12924936,0.019505385
4,14,0.14833127,0.02901457
4,15,0.14531308,0.030568251
